Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,21,Brazil,5510,Production,515,Apples,2010,2010,tonnes,1279124,,Official data
QC,Crops,21,Brazil,5510,Production,515,Apples,2011,2011,tonnes,1338995,,Official data
QC,Crops,21,Brazil,5510,Production,515,Apples,2012,2012,tonnes,1339771,,Official data
QC,Crops,21,Brazil,5510,Production,515,Apples,2013,2013,tonnes,1231472,,Official data
QC,Crops,21,Brazil,5510,Production,515,Apples,2014,2014,tonnes,1378617,,Official data
QC,Crops,21,Brazil,5510,Production,572,Avocados,2010,2010,tonnes,153189,,Official data
QC,Crops,21,Brazil,5510,Production,572,Avocados,2011,2011,tonnes,160376,,Official data
QC,Crops,21,Brazil,5510,Production,572,Avocados,2012,2012,tonnes,159903,,Official data
QC,Crops,21,Brazil,5510,Production,572,Avocados,2013,2013,tonnes,157482,,Official data
QC,Crops,21,Brazil,5510,Production,572,Avocados,2014,2014,tonnes,156699,,Official data
QC,Crops,21,Brazil,5510,Production,486,Bananas,2010,2010,tonnes,6969306,,Official data
QC,Crops,21,Brazil,5510,Production,486,Bananas,2011,2011,tonnes,7329471,,Official data
QC,Crops,21,Brazil,5510,Production,486,Bananas,2012,2012,tonnes,6902184,,Official data
QC,Crops,21,Brazil,5510,Production,486,Bananas,2013,2013,tonnes,6892622,,Official data
QC,Crops,21,Brazil,5510,Production,486,Bananas,2014,2014,tonnes,6953747,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2010,2010,tonnes,278558,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2011,2011,tonnes,303872,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2012,2012,tonnes,265025,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2013,2013,tonnes,330682,,Official data
QC,Crops,21,Brazil,5510,Production,44,Barley,2014,2014,tonnes,251539,,Official data
QC,Crops,21,Brazil,5510,Production,782,"Bastfibres, other",2010,2010,tonnes,13216,,Official data
QC,Crops,21,Brazil,5510,Production,782,"Bastfibres, other",2011,2011,tonnes,15611,,Official data
QC,Crops,21,Brazil,5510,Production,782,"Bastfibres, other",2012,2012,tonnes,8467,,Official data
QC,Crops,21,Brazil,5510,Production,782,"Bastfibres, other",2013,2013,tonnes,9502,,Official data
QC,Crops,21,Brazil,5510,Production,782,"Bastfibres, other",2014,2014,tonnes,8130,,Official data
QC,Crops,21,Brazil,5510,Production,176,"Beans, dry",2010,2010,tonnes,3158905,,Official data
QC,Crops,21,Brazil,5510,Production,176,"Beans, dry",2011,2011,tonnes,3435366,,Official data
QC,Crops,21,Brazil,5510,Production,176,"Beans, dry",2012,2012,tonnes,2794854,,Official data
QC,Crops,21,Brazil,5510,Production,176,"Beans, dry",2013,2013,tonnes,2892599,,Official data
QC,Crops,21,Brazil,5510,Production,176,"Beans, dry",2014,2014,tonnes,3294586,,Official data
QC,Crops,21,Brazil,5510,Production,216,"Brazil nuts, with shell",2010,2010,tonnes,40357,,Official data
QC,Crops,21,Brazil,5510,Production,216,"Brazil nuts, with shell",2011,2011,tonnes,42152,,Official data
QC,Crops,21,Brazil,5510,Production,216,"Brazil nuts, with shell",2012,2012,tonnes,38805,,Official data
QC,Crops,21,Brazil,5510,Production,216,"Brazil nuts, with shell",2013,2013,tonnes,39000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,216,"Brazil nuts, with shell",2014,2014,tonnes,39000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,181,"Broad beans, horse beans, dry",2010,2010,tonnes,7349,,Official data
QC,Crops,21,Brazil,5510,Production,181,"Broad beans, horse beans, dry",2011,2011,tonnes,16680,,Official data
QC,Crops,21,Brazil,5510,Production,181,"Broad beans, horse beans, dry",2012,2012,tonnes,5032,,Official data
QC,Crops,21,Brazil,5510,Production,181,"Broad beans, horse beans, dry",2013,2013,tonnes,7957,,Official data
QC,Crops,21,Brazil,5510,Production,181,"Broad beans, horse beans, dry",2014,2014,tonnes,7680,,Official data
QC,Crops,21,Brazil,5510,Production,89,Buckwheat,2010,2010,tonnes,55598,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,89,Buckwheat,2011,2011,tonnes,57000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,89,Buckwheat,2012,2012,tonnes,60000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,89,Buckwheat,2013,2013,tonnes,62000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,89,Buckwheat,2014,2014,tonnes,64000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,217,"Cashew nuts, with shell",2010,2010,tonnes,104342,,Official data
QC,Crops,21,Brazil,5510,Production,217,"Cashew nuts, with shell",2011,2011,tonnes,230785,,Official data
QC,Crops,21,Brazil,5510,Production,217,"Cashew nuts, with shell",2012,2012,tonnes,80630,,Official data
QC,Crops,21,Brazil,5510,Production,217,"Cashew nuts, with shell",2013,2013,tonnes,109679,,Official data
QC,Crops,21,Brazil,5510,Production,217,"Cashew nuts, with shell",2014,2014,tonnes,107713,,Official data
QC,Crops,21,Brazil,5510,Production,591,Cashewapple,2010,2010,tonnes,1729722,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,591,Cashewapple,2011,2011,tonnes,1747476,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,591,Cashewapple,2012,2012,tonnes,1805000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,591,Cashewapple,2013,2013,tonnes,1805000,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,591,Cashewapple,2014,2014,tonnes,1743020,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,125,Cassava,2010,2010,tonnes,24967052,,Official data
QC,Crops,21,Brazil,5510,Production,125,Cassava,2011,2011,tonnes,25349542,,Official data
QC,Crops,21,Brazil,5510,Production,125,Cassava,2012,2012,tonnes,23044557,,Official data
QC,Crops,21,Brazil,5510,Production,125,Cassava,2013,2013,tonnes,21484218,,Official data
QC,Crops,21,Brazil,5510,Production,125,Cassava,2014,2014,tonnes,23253514,,Official data
QC,Crops,21,Brazil,5510,Production,265,Castor oil seed,2010,2010,tonnes,95183,,Official data
QC,Crops,21,Brazil,5510,Production,265,Castor oil seed,2011,2011,tonnes,120166,,Official data
QC,Crops,21,Brazil,5510,Production,265,Castor oil seed,2012,2012,tonnes,25989,,Official data
QC,Crops,21,Brazil,5510,Production,265,Castor oil seed,2013,2013,tonnes,12526,,Official data
QC,Crops,21,Brazil,5510,Production,265,Castor oil seed,2014,2014,tonnes,37582,,Official data
QC,Crops,21,Brazil,5510,Production,220,Chestnut,2010,2010,tonnes,0,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,220,Chestnut,2011,2011,tonnes,0,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,220,Chestnut,2012,2012,tonnes,0,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,220,Chestnut,2013,2013,tonnes,0,F,FAO estimate
QC,Crops,21,Brazil,5510,Production,220,Chestnut,2014,2014,tonnes,0,Im,FAO data based on imputation methodology
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2010,2010,tonnes,235389,,Official data
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2011,2011,tonnes,248524,,Official data
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2012,2012,tonnes,253211,,Official data
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2013,2013,tonnes,256186,,Official data
QC,Crops,21,Brazil,5510,Production,661,"Cocoa, beans",2014,2014,tonnes,273793,,Official data
QC,Crops,21,Brazil,5510,Production,249,Coconuts,2010,2010,tonnes,2843453,,Official data
QC,Crops,21,Brazil,5510,Production,249,Coconuts,2011,2011,tonnes,2943651,,Official data
QC,Crops,21,Brazil,5510,Production,249,Coconuts,2012,2012,tonnes,2931531,,Official data
QC,Crops,21,Brazil,5510,Production,249,Coconuts,2013,2013,tonnes,2890286,,Official data
QC,Crops,21,Brazil,5510,Production,249,Coconuts,2014,2014,tonnes,2919110,,Official data
QC,Crops,21,Brazil,5510,Production,656,"Coffee, green",2010,2010,tonnes,2907265,,Official data
